sr,lat,lon,h_avg_field,h_pred_mean,h_pred_std,h_pred_min,h_pred_max,h_pred_median,n_pixels,coverage_ratio,tile_key
57,30.20611,78.19435,22.0,19.93053436279297,8.22473430633545,0.179226815700531,31.49325180053711,20.980396270751953,600,1.0,z18_188011_107980
58,30.15704,78.23228,23.0,30.473562240600586,0.9323257803916931,27.28987693786621,33.13410949707031,30.444068908691406,336,1.0,z18_188039_108021
59,30.15261,78.23198,18.0,27.099491119384766,4.861810684204102,19.16985321044922,35.99467468261719,25.849380493164062,600,1.0,z18_188038_108025
60,30.1488,78.23105,24.0,24.47679901123047,4.614814281463623,13.62038516998291,30.322134017944336,25.694766998291016,576,1.0,z18_188038_108028
61,30.14113,78.22867,27.0,31.38004493713379,2.3846077919006348,19.795989990234375,35.244590759277344,31.70752716064453,600,1.0,z18_188036_108035
62,30.14103,78.22826,24.0,25.76459503173828,5.087702751159668,16.26842498779297,37.250370025634766,25.039112091064453,576,1.0,z18_188036_108035
63,30.13574,78.22758,27.0,31.426185607910156,1.8346948623657227,25.64170265197754,34.06440353393555,31.833362579345703,576,1.0,z18_188035_108039
64,30.11084,78.21028,21.8,25.975576400756836,2.5103399753570557,20.524717330932617,31.613632202148438,26.07179069519043,600,1.0,z18_188022_108060
65,30.11071,78.20815,28.0,25.777929306030273,2.4583468437194824,19.266895294189453,30.37459945678711,26.398693084716797,600,1.0,z18_188021_108060
66,30.1127,78.21297,23.0,30.58720588684082,2.7605199813842773,20.54741668701172,34.08296203613281,31.38101577758789,576,1.0,z18_188024_108059
67,30.11751,78.22498,20.5,26.118919372558594,5.618956565856934,8.61376953125,33.443843841552734,27.507282257080078,576,1.0,z18_188033_108055
68,30.12302,78.22928,22.2,30.715360641479492,2.5798635482788086,22.490694046020508,34.670326232910156,31.12615966796875,600,1.0,z18_188036_108050
69,30.13123,78.22755,23.4,26.36609649658203,2.951892852783203,19.717763900756836,33.26899719238281,26.68303680419922,576,1.0,z18_188035_108043
70,30.09361,78.1867,25.6,32.152000427246094,3.5905823707580566,25.243364334106445,39.612762451171875,32.45568084716797,576,1.0,z18_188005_108075
71,30.16112,78.24187,28.0,28.98141098022461,3.9217169284820557,17.494632720947266,35.17750549316406,29.93059539794922,576,1.0,z18_188045_108018
72,30.17082,78.23568,23.9,26.061880111694336,4.863279342651367,15.477338790893555,39.21980285644531,26.109375,576,1.0,z18_188041_108010
73,30.16372,78.23468,20.0,28.596031188964844,1.8380868434906006,23.660625457763672,32.35356903076172,28.57473373413086,576,1.0,z18_188040_108016
74,30.15941,78.22095,20.3,34.26232147216797,1.8880642652511597,27.83407211303711,37.33348846435547,34.43804931640625,600,1.0,z18_188030_108019
75,30.12654,78.25979,24.3,24.76473045349121,2.186580181121826,16.908267974853516,27.44498062133789,25.71890640258789,528,1.0,z18_188059_108047
76,30.11681,78.23418,21.3,29.725440979003906,2.9762606620788574,23.450084686279297,34.5809211730957,29.644939422607422,576,1.0,z18_188040_108055
77,30.10572,78.23869,27.8,19.26706314086914,8.17877197265625,2.1026453971862793,31.25363540649414,20.2320499420166,600,1.0,z18_188043_108065
78,30.10163,78.24788,22.5,32.78500747680664,6.110057353973389,20.723163604736328,42.53801727294922,32.27180480957031,600,1.0,z18_188050_108068
79,30.10671,78.20018,23.0,31.716007232666016,2.25424861907959,26.595109939575195,36.1614990234375,31.596668243408203,576,1.0,z18_188015_108064
80,30.10752,78.19185,28.5,29.41280746459961,2.891455888748169,21.500385284423828,34.166259765625,29.66442108154297,576,1.0,z18_188009_108063
81,30.1703,78.18826,21.8,27.324508666992188,2.78102707862854,19.656221389770508,32.19298553466797,27.209430694580078,600,1.0,z18_188006_108010
82,30.1644,78.19066,16.6,31.67887306213379,1.3705509901046753,28.47467041015625,35.29911804199219,31.616744995117188,600,1.0,z18_188008_108015
83,30.11653,78.27688,21.4,15.440167427062988,11.100377082824707,1.8085176944732666,34.220550537109375,11.63955307006836,600,1.0,z18_188071_108056
84,30.10534,78.2637,18.5,9.242924690246582,2.7796828746795654,4.363807678222656,14.159995079040527,8.836557388305664,576,1.0,z18_188061_108065
85,30.10132,78.27216,24.6,23.572525024414062,3.8574278354644775,15.706987380981445,30.39052963256836,24.02584457397461,576,1.0,z18_188068_108068
86,30.10164,78.27438,21.0,18.72319984436035,4.7732834815979,8.575871467590332,27.40427589416504,19.23592185974121,600,1.0,z18_188069_108068
87,30.11964,78.27269,23.9,25.54792022705078,1.439812183380127,21.036684036254883,28.829818725585938,25.781444549560547,600,1.0,z18_188068_108053
88,30.11433,78.21288,18.0,26.539751052856445,3.109527826309204,17.490795135498047,31.00973129272461,27.26011848449707,576,1.0,z18_188024_108057
89,30.11844,78.21349,18.7,32.61457061767578,3.0963501930236816,22.556812286376953,36.78517150878906,33.05234909057617,576,1.0,z18_188025_108054
90,30.12323,78.24157,21.0,20.91411590576172,6.8449506759643555,7.3490400314331055,29.919336318969727,23.47909164428711,576,1.0,z18_188045_108050
91,30.08834,78.20588,20.0,31.660846710205078,2.106874942779541,25.599105834960938,34.90559005737305,32.247528076171875,600,1.0,z18_188019_108079
92,30.09462,78.19186,21.5,0.6988744139671326,0.613551914691925,0.1487896740436554,3.4353604316711426,0.4947755038738251,600,1.0,z18_188009_108074
93,30.10262,78.19469,25.0,29.33981704711914,3.201378583908081,11.741263389587402,32.80644607543945,30.235736846923828,576,1.0,z18_188011_108067
94,30.09642,78.19139,22.0,0.20017753541469574,0.16368363797664642,0.0767139196395874,0.9445383548736572,0.13648377358913422,312,1.0,z18_188009_108073
95,30.0997,78.19109,23.5,29.552946090698242,1.6619579792022705,27.048864364624023,33.8683967590332,29.160991668701172,360,1.0,z18_188009_108070
96,30.12962,78.1877,24.3,36.22048568725586,4.1938652992248535,25.411361694335938,42.65571594238281,36.58163070678711,576,1.0,z18_188006_108045
97,30.1191,78.19365,25.7,30.941110610961914,2.44974422454834,22.82695770263672,34.946895599365234,31.6848201751709,576,1.0,z18_188010_108053
98,30.14,78.17158,25.6,25.664785385131836,6.236965656280518,11.552552223205566,37.798789978027344,26.228899002075195,576,1.0,z18_187994_108036
99,30.09393,78.15568,20.5,31.310546875,3.9800963401794434,21.470966339111328,36.834716796875,32.425846099853516,576,1.0,z18_187983_108075
100,30.10421,78.17198,25.0,16.179325103759766,1.9213497638702393,11.854454040527344,20.954788208007812,16.07089614868164,576,1.0,z18_187995_108066
